@RELATION segment_classifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {high2,neutral2,low2}

@DATA
0.176796,0.012653,2.736007,0.296682,0.239275,1.256023,0.034712,0.307791,-29.385363,1.586982,0.276186,-0.033202,-0.175483,0.123421,0.017166,-0.029591,-0.036436,-0.019211,-0.201900,-0.026324,-0.158590,0.007917,0.028781,0.005158,0.169338,0.003900,0.019505,0.003522,0.021331,0.004757,0.006755,0.033387,0.001761,0.061041,-0.013607,-0.000005,-0.008147,-0.009495,-0.001112,-0.075361,0.000132,-0.021919,-0.196792,0.055691,-0.017017,0.037459,0.008442,-0.011900,0.013973,-0.003925,0.002215,-0.010208,-0.015548,0.002333,0.002092,-0.000093,-0.000304,-0.000549,0.020516,-0.000196,-0.000231,-0.000185,-0.000047,-0.000227,-0.000133,0.000018,-0.000128,0.005574,0.156110,0.019396,0.462075,0.123978,0.040490,0.771749,0.028349,0.253760,3.467641,1.230662,0.749081,0.516108,0.507083,0.320137,0.299851,0.327526,0.324742,0.251852,0.295530,0.245418,0.294059,0.011977,0.033812,0.007832,0.162180,0.005811,0.030805,0.005172,0.030228,0.010080,0.008314,0.034747,0.002289,0.042102,0.156906,0.021927,0.704812,0.132602,0.043246,0.979750,0.037502,0.330980,3.695193,1.236088,0.736127,0.619202,0.672028,0.363197,0.324695,0.390744,0.372920,0.312554,0.341725,0.297756,0.335078,0.016053,0.040402,0.009836,0.209899,0.008338,0.028403,0.006155,0.033565,0.013158,0.011276,0.042916,0.003258,0.055812,high2
0.170104,0.017955,2.898291,0.278672,0.245864,1.168909,0.036165,0.269444,-28.867710,1.727026,0.271631,0.130176,-0.216651,-0.252312,-0.036760,0.024501,-0.160755,-0.027428,-0.126161,0.029526,-0.122925,0.006972,0.026194,0.005354,0.177156,0.004465,0.026988,0.004224,0.031621,0.001735,0.010068,0.019697,0.001916,0.064137,0.000098,-0.000009,-0.037647,-0.004151,-0.001276,-0.029582,0.001017,-0.005686,-0.238952,-0.015279,-0.047454,-0.022609,-0.014898,-0.002151,-0.003796,-0.037869,-0.000057,-0.054955,-0.037944,-0.012146,-0.003710,-0.000113,-0.000024,-0.000099,0.031440,-0.000235,-0.000049,-0.000051,-0.001584,-0.000012,-0.000167,-0.001392,-0.000009,0.008628,0.151912,0.018590,0.450409,0.108326,0.031003,0.783339,0.032323,0.252447,3.094123,1.087177,0.668752,0.449093,0.345748,0.328619,0.295547,0.317692,0.319152,0.308493,0.351485,0.226354,0.359234,0.010302,0.029442,0.008509,0.191654,0.005813,0.039661,0.009477,0.039106,0.002348,0.017970,0.024791,0.002770,0.048635,0.139464,0.019619,0.593969,0.090050,0.035369,0.758615,0.036520,0.245633,2.746783,0.864655,0.663006,0.472296,0.396443,0.376356,0.374385,0.336257,0.334457,0.281912,0.371403,0.290532,0.421076,0.013695,0.035080,0.010156,0.230610,0.007480,0.044378,0.006908,0.043667,0.002935,0.018621,0.034290,0.002823,0.059887,high2
0.198671,0.009021,2.730125,0.318909,0.245452,1.418161,0.027065,0.375711,-29.375495,1.557222,0.404868,-0.107479,-0.452041,-0.087241,-0.051529,0.131195,-0.109440,0.084589,-0.167142,0.019828,-0.264653,0.016585,0.027255,0.008537,0.146959,0.002543,0.017850,0.005702,0.021373,0.002803,0.009214,0.028294,0.001623,0.052119,-0.004787,-0.000034,-0.008978,-0.002638,0.001088,-0.032013,0.000871,-0.004314,-0.316733,-0.035829,0.001505,-0.014612,0.012070,0.004731,0.048361,-0.001504,0.035395,0.009926,0.003843,-0.022726,0.010808,-0.000171,-0.002180,-0.000095,0.032414,-0.000089,-0.000650,-0.000030,-0.001467,-0.000059,-0.001969,-0.000375,-0.000010,0.008759,0.156337,0.011306,0.378585,0.116186,0.036458,0.594958,0.015735,0.239216,3.785420,1.135846,0.607816,0.444857,0.439655,0.323924,0.453639,0.351910,0.354169,0.268098,0.306232,0.305632,0.304249,0.021939,0.029905,0.014774,0.157244,0.003076,0.026433,0.008788,0.027669,0.004706,0.012465,0.027032,0.001863,0.038968,0.139218,0.012278,0.489605,0.117214,0.035228,0.613145,0.019638,0.244570,3.200558,1.124495,0.673292,0.529343,0.517186,0.437434,0.453618,0.439189,0.412703,0.336084,0.359078,0.276865,0.301791,0.029646,0.037086,0.019787,0.159996,0.003851,0.034661,0.009409,0.037615,0.006453,0.018240,0.030515,0.002136,0.040189,high2
0.178358,0.008614,2.875624,0.300916,0.256488,1.317075,0.028848,0.332153,-30.897249,1.524418,0.281256,-0.015383,-0.217847,0.025829,-0.080116,-0.033126,-0.178158,-0.248048,-0.271060,-0.053750,-0.126012,0.005445,0.024958,0.005535,0.184765,0.005433,0.020257,0.003896,0.014924,0.001711,0.005540,0.014908,0.002418,0.058973,-0.001176,-0.000000,0.002126,-0.000405,0.000355,-0.011375,0.000797,-0.003413,-0.010870,0.009052,0.006905,0.003479,0.003528,-0.008901,-0.003652,-0.002812,-0.009068,0.004556,0.002363,-0.004804,0.001301,-0.000041,-0.000079,-0.000020,-0.003229,-0.000007,-0.000001,-0.000012,-0.000030,-0.000000,-0.000001,0.000026,-0.000022,-0.000888,0.125790,0.011425,0.392924,0.103040,0.038351,0.686011,0.021021,0.255141,3.261904,1.049618,0.742234,0.408588,0.455250,0.391333,0.301406,0.365738,0.395276,0.334039,0.326874,0.373279,0.303690,0.007169,0.037600,0.007495,0.130858,0.009090,0.025260,0.009191,0.017789,0.002071,0.007054,0.017929,0.004417,0.033401,0.124063,0.011032,0.536090,0.101744,0.038008,0.745644,0.025506,0.253658,2.417593,1.097721,0.702747,0.439008,0.510635,0.452677,0.372157,0.376775,0.369418,0.389506,0.351692,0.389754,0.340446,0.010215,0.048065,0.010057,0.150733,0.012452,0.028467,0.012652,0.017267,0.002841,0.008482,0.025070,0.005577,0.040784,high2
0.203627,0.013368,2.881591,0.337963,0.254401,1.538005,0.026841,0.395709,-28.718017,1.287517,0.118032,-0.219969,-0.230356,-0.188005,-0.255158,-0.023488,-0.345378,0.014409,-0.204322,0.102732,-0.122974,0.009868,0.028933,0.005778,0.061531,0.008635,0.023038,0.006069,0.031808,0.006253,0.013803,0.024522,0.002155,0.035801,-0.003014,-0.000032,-0.001865,-0.002594,-0.000659,-0.019652,0.000186,-0.008084,-0.055610,0.012618,-0.008634,0.009758,0.005861,-0.003272,-0.010475,-0.006779,0.003258,0.003851,0.002464,-0.000224,0.001453,-0.000016,-0.000053,-0.000041,0.001067,-0.000042,-0.000031,-0.000027,-0.000206,-0.000010,-0.000046,-0.000336,-0.000028,0.000151,0.122931,0.022026,0.395044,0.095473,0.038846,0.609928,0.019406,0.235946,3.795650,1.040869,1.054229,0.565801,0.409882,0.424172,0.444895,0.411839,0.387787,0.336448,0.371240,0.376345,0.366151,0.011896,0.037050,0.009740,0.086793,0.014558,0.027859,0.011584,0.039836,0.009459,0.018127,0.031075,0.003996,0.021960,0.121466,0.021390,0.567634,0.089348,0.033543,0.697584,0.023869,0.235414,3.126046,1.128718,0.878622,0.545295,0.491633,0.533325,0.517385,0.454821,0.454403,0.347477,0.414285,0.379569,0.450477,0.015440,0.039229,0.012539,0.082860,0.018102,0.040081,0.014310,0.043162,0.013362,0.019305,0.037756,0.005528,0.021695,high2
0.163217,0.017681,2.919795,0.274188,0.228465,1.168420,0.053212,0.276801,-28.714313,1.622830,-0.158349,0.091111,-0.333259,0.021919,-0.194824,-0.285746,-0.262428,-0.200077,-0.117093,0.056702,-0.022150,0.005775,0.023015,0.005411,0.143430,0.006922,0.036668,0.004912,0.026143,0.002438,0.009267,0.019092,0.004149,0.056389,-0.002375,-0.000205,-0.006722,-0.003913,-0.001145,-0.024211,0.008348,-0.003517,-0.204534,-0.006412,0.028173,0.000236,0.010537,0.013824,0.006333,-0.001419,-0.001798,-0.009274,0.005562,0.009797,0.009732,-0.000106,-0.000494,-0.000175,0.009526,-0.000009,-0.000304,-0.000088,-0.000028,-0.000071,-0.000021,-0.000333,-0.000128,0.002500,0.108971,0.018675,0.455183,0.097439,0.044105,0.638964,0.055733,0.217564,4.439235,1.119248,0.859190,0.508948,0.477765,0.428326,0.431781,0.313574,0.385165,0.338917,0.381209,0.346470,0.291197,0.009215,0.028644,0.008904,0.215564,0.012260,0.048632,0.007095,0.039755,0.002875,0.013542,0.021223,0.009018,0.053271,0.095043,0.017235,0.599696,0.091228,0.047692,0.545785,0.069234,0.235696,3.390879,1.060328,0.806267,0.502960,0.558406,0.456735,0.460474,0.396319,0.434726,0.424938,0.354607,0.337879,0.373148,0.012097,0.027688,0.010570,0.238554,0.016652,0.062947,0.010054,0.050067,0.003592,0.019378,0.032281,0.012543,0.063448,high2
0.122631,0.034906,2.870750,0.241879,0.234276,0.859244,0.034903,0.221054,-28.610488,1.857444,0.218306,0.161139,0.043498,0.080393,0.052271,-0.014216,-0.127867,-0.114797,-0.092885,-0.006637,0.039254,0.002230,0.008355,0.003709,0.276674,0.004462,0.030205,0.001572,0.010301,0.001825,0.004216,0.039014,0.002890,0.086002,-0.000498,-0.000075,0.000417,0.000231,0.000989,-0.001027,-0.000854,-0.000441,0.041738,-0.008480,0.004436,-0.007440,0.005201,-0.000886,0.006545,0.004380,0.000189,0.008173,-0.000260,0.004274,0.001089,0.000003,-0.000040,-0.000006,0.007706,-0.000006,-0.000021,-0.000001,0.000039,-0.000005,-0.000071,-0.002716,-0.000001,0.001329,0.084383,0.036355,0.302132,0.095279,0.039278,0.534461,0.029543,0.185835,3.006786,0.869950,0.659761,0.481381,0.305353,0.235511,0.300879,0.252848,0.311425,0.293332,0.241113,0.245599,0.272732,0.003047,0.010109,0.007476,0.198546,0.007641,0.038438,0.002676,0.011085,0.003380,0.006180,0.043952,0.004752,0.048649,0.081151,0.030179,0.378690,0.102364,0.047743,0.643105,0.040411,0.223870,2.849468,0.930919,0.699232,0.491092,0.415150,0.310329,0.324917,0.334185,0.357014,0.340148,0.240613,0.323459,0.328832,0.003734,0.013002,0.010086,0.200064,0.008541,0.034253,0.003505,0.014829,0.004420,0.008870,0.035289,0.006798,0.053368,high2
0.109839,0.010563,2.940686,0.224550,0.219215,0.954085,0.028847,0.185635,-29.345040,2.201856,0.117558,0.262376,-0.072766,0.122644,-0.052007,-0.065164,-0.156708,-0.179963,-0.226538,-0.006272,-0.153128,0.005704,0.028560,0.006331,0.153447,0.004559,0.018550,0.002340,0.031271,0.003109,0.006389,0.034965,0.002299,0.053762,-0.001278,-0.000011,-0.001007,-0.000413,0.000824,-0.016594,0.000475,-0.002955,-0.099403,-0.012882,-0.002823,0.006164,0.012573,-0.015331,0.003477,0.005647,0.004482,0.008671,-0.002181,0.003971,0.003934,-0.000328,-0.000838,-0.000029,0.010359,-0.000194,-0.000243,-0.000072,-0.000064,-0.000008,-0.000008,-0.002168,-0.000011,0.002638,0.066562,0.014439,0.343538,0.062865,0.043197,0.556540,0.020300,0.126153,3.121124,1.033311,0.825786,0.481032,0.456608,0.337917,0.282457,0.237823,0.260380,0.282290,0.279434,0.315604,0.315445,0.007473,0.031411,0.011017,0.162268,0.006783,0.025744,0.003095,0.027641,0.004760,0.008001,0.037240,0.004892,0.039000,0.070108,0.018945,0.432517,0.069656,0.045073,0.564406,0.026440,0.153222,2.161644,1.068365,0.712939,0.483568,0.553140,0.424665,0.295525,0.262681,0.281720,0.271913,0.340897,0.343532,0.389650,0.011872,0.045850,0.014531,0.170490,0.009606,0.036941,0.005110,0.027229,0.006150,0.011414,0.037478,0.006395,0.042045,high2
0.135438,0.018337,2.962007,0.254185,0.226329,0.995493,0.035994,0.247689,-29.262493,2.031003,-0.025905,-0.237638,-0.192292,-0.015792,-0.150380,-0.257256,-0.190781,-0.200957,-0.007589,0.227491,-0.037551,0.007115,0.012090,0.005181,0.208164,0.003258,0.028912,0.006856,0.033399,0.003745,0.013041,0.020399,0.001375,0.072261,0.001864,0.000002,-0.011015,-0.002465,-0.000454,-0.032672,-0.007242,-0.003291,-0.028727,0.000775,0.044883,-0.000382,0.051543,0.047194,-0.052768,-0.005223,-0.020937,-0.025148,-0.000715,-0.024056,-0.027803,-0.000174,-0.000072,0.000152,-0.006600,-0.000683,-0.000807,-0.000078,0.000381,0.000009,-0.000008,0.003909,-0.000018,-0.001852,0.107769,0.022265,0.293356,0.095564,0.039064,0.584618,0.028836,0.198337,3.078889,0.946866,0.754678,0.390439,0.412609,0.347890,0.350749,0.308931,0.295653,0.310033,0.307975,0.327941,0.269791,0.013500,0.018884,0.008754,0.148377,0.005409,0.033886,0.014608,0.034149,0.008632,0.021674,0.017881,0.002170,0.035778,0.100103,0.021692,0.410099,0.082660,0.039275,0.613665,0.043598,0.213866,3.038625,0.992247,0.719956,0.418615,0.445219,0.356076,0.398698,0.341172,0.356531,0.345509,0.335448,0.350078,0.294901,0.017541,0.025402,0.011757,0.160929,0.006086,0.038132,0.017425,0.033184,0.011273,0.023620,0.023753,0.002601,0.041291,high2
0.239622,0.020164,2.917344,0.345756,0.241152,1.570043,0.033838,0.400654,-28.286585,0.947979,-0.359156,-0.236507,-0.371084,-0.179756,-0.280847,-0.119684,-0.075926,-0.043927,0.030241,0.134382,-0.031933,0.015424,0.014399,0.007098,0.077499,0.005111,0.018121,0.006767,0.024543,0.005813,0.025482,0.017785,0.005669,0.038385,-0.001508,-0.000000,0.011961,-0.000922,0.000170,-0.002310,0.000497,-0.003745,-0.017838,-0.002152,-0.015739,0.004038,-0.002837,0.007997,0.008282,-0.001118,0.005249,-0.006850,-0.000510,0.009796,-0.000123,-0.000019,-0.000004,0.000000,0.004590,0.000004,0.000011,0.000010,0.000010,-0.000014,-0.000000,-0.000100,-0.000010,0.001270,0.167673,0.030503,0.392489,0.116370,0.036177,0.698051,0.029170,0.261178,4.001970,1.212074,0.999902,0.457497,0.461221,0.487167,0.422757,0.365534,0.459045,0.340006,0.395647,0.380802,0.302738,0.021461,0.019804,0.008953,0.112039,0.007213,0.028649,0.014129,0.032822,0.011158,0.034824,0.020517,0.009356,0.033117,0.142140,0.030470,0.519730,0.095593,0.034298,0.773833,0.035614,0.260858,3.614701,1.166517,0.850435,0.497012,0.537298,0.501633,0.440284,0.408580,0.511153,0.414790,0.447526,0.417119,0.362987,0.027814,0.027771,0.012321,0.109576,0.009142,0.037382,0.019293,0.044947,0.015404,0.039149,0.025288,0.012233,0.032747,high2
